"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14411","Login with valid credentials","chromium","Tue Mar 10 13:02:31 IST 2026","passed","Tue Mar 10 13:02:45 IST 2026","","UI_specFiles\EENLogin.spec.js","",""
"","227019","register pos","chromium","Tue Mar 10 13:02:45 IST 2026","failed","Tue Mar 10 13:06:32 IST 2026","","UI_specFiles\EENLogin.spec.js","",""
